500	5000	4	10
0	1	10	270	0	401	1	129	1	318	1	156	1	233	1	97	2	249	1	299	1	228	1	
1	3	10	240	3	384	3	31	1	138	0	172	3	471	1	455	3	286	3	209	2	231	3	
2	1	10	333	2	385	0	289	1	44	3	167	3	266	1	303	1	476	1	368	1	71	1	
3	2	10	291	2	491	3	365	2	310	2	165	2	213	2	69	2	131	2	73	2	441	1	
4	1	10	98	1	127	1	150	2	220	1	295	0	236	1	425	1	277	0	314	1	313	1	
5	3	10	476	3	300	3	219	1	432	3	196	1	205	2	5	3	461	3	3	3	94	2	
6	1	10	246	1	433	1	228	1	229	3	456	1	285	1	90	1	43	1	461	1	18	1	
7	1	10	214	1	283	1	452	1	485	3	83	1	229	1	211	1	354	1	345	1	412	1	
8	1	10	413	1	316	1	342	2	445	1	310	1	448	1	20	1	24	1	159	1	131	0	
9	3	10	292	3	383	3	125	2	470	3	147	3	184	2	442	3	448	3	300	3	214	2	
10	3	10	367	3	344	1	259	3	130	3	243	3	488	3	419	3	406	1	49	3	159	2	
11	1	10	359	1	336	1	391	1	13	0	109	2	294	1	31	1	42	1	101	1	74	1	
12	0	10	360	0	24	3	252	0	408	2	311	1	445	3	74	1	441	0	418	2	454	0	
13	0	10	184	0	425	0	366	0	405	0	141	0	497	1	3	0	22	0	407	1	370	2	
14	3	10	107	3	69	3	67	3	230	3	126	2	5	3	75	3	323	3	90	3	292	3	
15	3	10	370	3	30	3	496	3	351	3	122	3	252	1	213	1	106	3	263	3	239	3	
16	3	10	190	3	11	3	25	3	385	3	6	3	101	3	119	3	52	3	496	1	209	3	
17	2	10	125	2	85	2	189	2	134	2	44	3	472	2	424	2	261	1	4	2	369	3	
18	3	10	268	3	72	3	233	3	436	3	375	3	403	3	36	3	165	3	470	1	344	3	
19	0	10	152	0	448	0	89	0	109	0	216	0	105	0	431	1	350	0	493	0	78	0	
20	1	10	372	1	266	2	290	2	484	1	31	1	401	1	428	1	120	1	379	1	155	1	
21	0	10	277	0	111	0	1	2	278	0	284	1	80	0	114	0	194	0	371	0	149	0	
22	0	10	38	0	119	0	334	0	193	2	426	0	107	0	272	0	118	0	475	0	157	0	
23	3	10	133	2	401	3	467	3	272	3	33	3	347	3	397	3	17	3	294	3	473	0	
24	0	10	442	0	386	0	45	1	37	3	438	0	44	0	6	0	199	0	176	1	291	0	
25	2	10	167	2	368	2	120	2	264	2	367	2	107	2	201	2	59	2	21	3	342	1	
26	3	10	255	3	147	3	167	3	327	3	26	1	75	3	102	3	430	1	79	2	107	3	
27	2	10	87	2	108	2	291	2	474	2	50	2	164	2	274	2	290	2	197	2	446	2	
28	3	10	175	3	287	1	354	3	266	3	495	3	301	3	400	3	77	3	234	3	464	3	
29	2	10	144	2	210	2	268	2	333	2	387	3	471	2	472	2	36	0	353	2	218	2	
30	2	10	266	2	365	2	132	2	54	2	232	2	211	0	231	2	1	2	270	2	171	1	
31	2	10	131	3	199	2	183	2	420	2	93	2	409	1	438	2	70	2	101	2	122	2	
32	2	10	106	2	41	2	103	2	100	2	29	2	37	2	275	3	424	2	115	2	171	2	
33	3	10	298	3	379	3	140	3	230	0	164	3	178	3	175	3	425	0	186	3	257	3	
34	3	10	392	3	492	2	497	3	495	3	358	3	321	3	52	3	251	3	352	3	62	0	
35	2	10	391	2	233	2	335	2	490	0	153	0	253	2	105	2	222	2	182	1	232	3	
36	2	10	404	2	6	2	248	2	365	2	137	3	112	2	104	2	331	2	44	2	182	2	
37	1	10	464	1	288	1	371	1	309	1	4	1	279	1	52	1	280	1	59	0	420	1	
38	0	10	431	0	312	0	129	0	12	0	157	0	127	0	347	1	366	0	402	0	466	3	
39	1	10	424	1	107	1	330	1	383	1	55	1	45	1	213	0	234	1	399	1	465	1	
40	2	10	92	2	436	2	259	2	89	2	116	2	161	2	332	1	32	2	301	2	339	2	
41	2	10	62	2	34	2	110	2	101	2	183	3	374	2	163	2	248	2	196	2	53	2	
42	1	10	479	1	333	1	120	1	465	0	400	1	280	1	174	1	165	1	293	1	489	3	
43	3	10	50	3	159	3	96	3	495	3	368	3	249	1	265	3	461	0	87	0	149	3	
